"Intersection","Gene","Gene_Function"
"Wounded_4h vs Wounded_0h","pdam_00020653","Hif1an: Hypoxia-inducible factor 1-alpha inhibitor (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00022409","itln: Intelectin (Oncorhynchus mykiss)"
"Wounded_4h vs Wounded_0h","pdam_00022718","Hmcn2: Hemicentin-2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00021428","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00002699","SPON1: Spondin-1 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00002738","Gabbr2: Gamma-aminobutyric acid type B receptor subunit 2 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00002765","celf4: CUGBP Elav-like family member 4 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00002786","Trim2: Tripartite motif-containing protein 2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00002778","Phospholipase A2 A2-actitoxin-Cgg2a (Condylactis gigantea)"
"Wounded_4h vs Wounded_0h","pdam_00002790","Vha26: V-type proton ATPase subunit E (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00010273","CPAMD8: C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00017611","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00012984","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00012985","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00012994","Ddr2: Discoidin domain-containing receptor 2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00024074","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00021005","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00006755","Aplnr: Apelin receptor (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00013674","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00021666","ntmt1-b: N-terminal Xaa-Pro-Lys N-methyltransferase 1-B (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00012402","Exoc6b: Exocyst complex component 6B (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00013286","ARFRP1: ADP-ribosylation factor-related protein 1 (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00013786","mtpn: Myotrophin (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00013778","Hmcn1: Hemicentin-1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00018144","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00007971","Col27a1: Collagen alpha-1(XXVII) chain (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00007958","SNRPA: U1 small nuclear ribonucleoprotein A (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00007974","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00020120","Pathogenesis-related leaf protein 4 (Solanum lycopersicum)"
"Wounded_4h vs Wounded_0h","pdam_00020369","NOP58: Nucleolar protein 58 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00012629","TYW5: tRNA wybutosine-synthesizing protein 5 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00012643","rgn: Regucalcin (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00018600","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00021589","abcB1: ABC transporter B family member 1 (Dictyostelium discoideum)"
"Wounded_4h vs Wounded_0h","pdam_00018404","Rfc1: Replication factor C subunit 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00001657","LARS: Leucine--tRNA ligase%2C cytoplasmic (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00001654","mcts1: Malignant T-cell-amplified sequence 1 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00001678","Srebf1: Sterol regulatory element-binding protein 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00001687","FGF7: Fibroblast growth factor 7 (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00001693","AVIL: Advillin (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00011495","Naalad2: N-acetylated-alpha-linked acidic dipeptidase 2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00020565","Ermp1: Endoplasmic reticulum metallopeptidase 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00024941","TRAF6: TNF receptor-associated factor 6 (Macaca mulatta)"
"Wounded_4h vs Wounded_0h","pdam_00018033","tll1: Dorsal-ventral patterning tolloid-like protein 1 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00004654","ZNFX1: NFX1-type zinc finger-containing protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00004637","lysA: Diaminopimelate decarboxylase (Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4))"
"Wounded_4h vs Wounded_0h","pdam_00004689","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00004669","Gmds: GDP-mannose 4%2C6 dehydratase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00017946","CUB and peptidase domain-containing protein 1 (Fragment) (Acropora millepora)"
"Wounded_4h vs Wounded_0h","pdam_00009789","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00015066","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00014771","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00024639","TRAF4: TNF receptor-associated factor 4 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00010363","mpv17: Protein Mpv17 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00010352","mapk8: Mitogen-activated protein kinase 8 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00001274","DNAJC21: DnaJ homolog subfamily C member 21 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00001261","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00001181","PNPLA4: Patatin-like phospholipase domain-containing protein 4 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00001191","DSTYK: Dual serine/threonine and tyrosine protein kinase (Strongylocentrotus purpuratus)"
"Wounded_4h vs Wounded_0h","pdam_00001221","Grtp1: Growth hormone-regulated TBC protein 1 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00001222","Glb1l3: Beta-galactosidase-1-like protein 3 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00001253","cwc15-a: Protein CWC15 homolog A (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00001322","LSM1: U6 snRNA-associated Sm-like protein LSm1 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00001355","Fstl1: Follistatin-related protein 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00011572","SLC17A5: Sialin (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00014959","ARNTL: Aryl hydrocarbon receptor nuclear translocator-like protein 1 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00019450","Rnf213: E3 ubiquitin-protein ligase RNF213 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00023206","Prkaa2: 5'-AMP-activated protein kinase catalytic subunit alpha-2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00017055","MPEG1: Macrophage-expressed gene 1 protein (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00010946","pm20d1.2: N-fatty-acyl-amino acid synthase/hydrolase PM20D1.2 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00018923","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00009093","PTCD3: Pentatricopeptide repeat domain-containing protein 3%2C mitochondrial (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00014191","TXNDC17: Thioredoxin domain-containing protein 17 (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00014186","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00023979","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00011197","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00017083","TLL1: Tolloid-like protein 1 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00018623","odf3: Outer dense fiber protein 3 (Xenopus tropicalis)"
"Wounded_4h vs Wounded_0h","pdam_00025812","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00015712","hibch: 3-hydroxyisobutyryl-CoA hydrolase%2C mitochondrial (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00025058","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00014573","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00022105","Idua: Alpha-L-iduronidase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00018456","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00015691","SCD: Acyl-CoA desaturase (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00005840","HSPG2: Basement membrane-specific heparan sulfate proteoglycan core protein (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00005839","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00005846","URM1: Ubiquitin-related modifier 1 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00005853","Sardh: Sarcosine dehydrogenase%2C mitochondrial (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00005850","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00020423","ARID2: AT-rich interactive domain-containing protein 2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00023798","Ddo: D-aspartate oxidase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00020436","adgrl4: Adhesion G protein-coupled receptor L4 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00020537","rsrc2: Arginine/serine-rich coiled-coil protein 2 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00020536","F31E3.2: Putative serine/threonine-protein kinase F31E3.2 (Caenorhabditis elegans)"
"Wounded_4h vs Wounded_0h","pdam_00023803","Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)"
"Wounded_4h vs Wounded_0h","pdam_00023802","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00018418","ADRB2: Beta-2 adrenergic receptor (Mesocricetus auratus)"
"Wounded_4h vs Wounded_0h","pdam_00020641","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00016177","APLF: Aprataxin and PNK-like factor (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00016167","Otub1: Ubiquitin thioesterase OTUB1 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00003891","HINT1: Histidine triad nucleotide-binding protein 1 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00003870","Sin3a: Paired amphipathic helix protein Sin3a (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00016582","v1g178517: 3-hydroxyanthranilate 3%2C4-dioxygenase (Nematostella vectensis)"
"Wounded_4h vs Wounded_0h","pdam_00016579","med9: Mediator of RNA polymerase II transcription subunit 9 (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00021517","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00021519","Adgrd1: Adhesion G-protein coupled receptor D1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00020697","Tmprss6: Transmembrane protease serine 6 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00008510","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00008513","rsph1: Radial spoke head 1 homolog (Cyprinus carpio)"
"Wounded_4h vs Wounded_0h","pdam_00022908","cyp3a56: Cytochrome P450 3A56 (Fundulus heteroclitus)"
"Wounded_4h vs Wounded_0h","pdam_00011237","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00011244","DOX2: Alpha-dioxygenase 2 (Arabidopsis thaliana)"
"Wounded_4h vs Wounded_0h","pdam_00011234","CUB and peptidase domain-containing protein 1 (Fragment) (Acropora millepora)"
"Wounded_4h vs Wounded_0h","pdam_00014798","Sult1b1: Sulfotransferase family cytosolic 1B member 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00023829","Atxn7: Ataxin-7 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00012551","ASMTL: N-acetylserotonin O-methyltransferase-like protein (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00012540","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00018495","ATPAF2: ATP synthase mitochondrial F1 complex assembly factor 2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00018508","Dermatopontin (Biomphalaria glabrata)"
"Wounded_4h vs Wounded_0h","pdam_00003283","IQCA1: IQ and AAA domain-containing protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00009624","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00009606","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00019180","MAM and fibronectin type III domain-containing protein 1 (Fragment) (Acropora millepora)"
"Wounded_4h vs Wounded_0h","pdam_00006144","Rab3: Ras-related protein Rab-3 (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00006121","Glutathione S-transferase (Dirofilaria immitis)"
"Wounded_4h vs Wounded_0h","pdam_00006116","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00006122","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00006115","Col12a1: Collagen alpha-1(XII) chain (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00021634","Slc16a10: Monocarboxylate transporter 10 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00022159","Naalad2: N-acetylated-alpha-linked acidic dipeptidase 2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00022158","Folh1: Glutamate carboxypeptidase 2 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00021030","sll1541: Apocarotenoid-15%2C15'-oxygenase (Synechocystis sp. (strain PCC 6803 / Kazusa))"
"Wounded_4h vs Wounded_0h","pdam_00014336","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00020129","grn: Granulin (Dictyostelium discoideum)"
"Wounded_4h vs Wounded_0h","pdam_00020130","GRN: Granulins (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00019082","SLC25A19: Mitochondrial thiamine pyrophosphate carrier (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00019081","Kif14: Kinesin-like protein KIF14 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00023068","TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00020003","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00005080","atad1b: ATPase family AAA domain-containing protein 1-B (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00018855","Srrm2: Serine/arginine repetitive matrix protein 2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00018870","MFSD1: Major facilitator superfamily domain-containing protein 1 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00018857","rnf146: E3 ubiquitin-protein ligase rnf146 (Salmo salar)"
"Wounded_4h vs Wounded_0h","pdam_00024435","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00023550","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00014540","slc37a2: Glucose-6-phosphate exchanger SLC37A2 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00014535","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00014534","U2AF1: Splicing factor U2AF 35 kDa subunit (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00016844","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00002022","Ectin (Fragment) (Acropora millepora)"
"Wounded_4h vs Wounded_0h","pdam_00024819","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00010727","CDC73: Parafibromin (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00023840","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00014459","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00017188","Inmt: Indolethylamine N-methyltransferase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00017747","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00009723","Allene oxide synthase-lipoxygenase protein (Plexaura homomalla)"
"Wounded_4h vs Wounded_0h","pdam_00013623","Pask: PAS domain-containing serine/threonine-protein kinase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00009414","CELA2B: Chymotrypsin-like elastase family member 2B (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00009402","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00015217","Htt: Huntingtin (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00021903","CYP17A1: Steroid 17-alpha-hydroxylase/17%2C20 lyase (Squalus acanthias)"
"Wounded_4h vs Wounded_0h","pdam_00013910","Ncor2: Nuclear receptor corepressor 2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00013922","Cltc: Clathrin heavy chain 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00008945","CREG2: Protein CREG2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00026011","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00016723","CDCA7L: Cell division cycle-associated 7-like protein (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00016719","DPEP1: Dipeptidase 1 (Oryctolagus cuniculus)"
"Wounded_4h vs Wounded_0h","pdam_00010872","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00010890","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00010892","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00010891","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00013027","Plscr2: Phospholipid scramblase 2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00013972","ULK3: Serine/threonine-protein kinase ULK3 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00009936","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00009942","RABL2A: Rab-like protein 2A (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00009938","SND1: Staphylococcal nuclease domain-containing protein 1 (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00023832","RABA2A: Ras-related protein RABA2a (Arabidopsis thaliana)"
"Wounded_4h vs Wounded_0h","pdam_00009020","Pnpla7: Patatin-like phospholipase domain-containing protein 7 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00001770","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00001777","C7orf43: Uncharacterized protein C7orf43 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00001825","sap130-a: Histone deacetylase complex subunit SAP130-A (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00001867","Taar9: Trace amine-associated receptor 9 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00006860","B4galnt1: Beta-1%2C4 N-acetylgalactosaminyltransferase 1 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00006844","tmem18: Transmembrane protein 18 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00002841","desi2: Desumoylating isopeptidase 2 (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00002840","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00002855","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00002941","bloc1s2: Biogenesis of lysosome-related organelles complex 1 subunit 2 (Nematostella vectensis)"
"Wounded_4h vs Wounded_0h","pdam_00002924","GCHFR: GTP cyclohydrolase 1 feedback regulatory protein (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00002935","KLHL28: Kelch-like protein 28 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00004246","Lmf1: Lipase maturation factor 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00019507","TRIADDRAFT_58679: DDRGK domain-containing protein 1 (Trichoplax adhaerens)"
"Wounded_4h vs Wounded_0h","pdam_00024741","nhl-1: RING finger protein nhl-1 (Caenorhabditis elegans)"
"Wounded_4h vs Wounded_0h","pdam_00009856","TRPM8: Transient receptor potential cation channel subfamily M member 8 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00009850","gpd1l: Glycerol-3-phosphate dehydrogenase 1-like protein (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00019254","Tbccd1: TBCC domain-containing protein 1 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00021384","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00016739","fam166b: Protein FAM166B (Xenopus tropicalis)"
"Wounded_4h vs Wounded_0h","pdam_00007170","Rab38: Ras-related protein Rab-38 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00007134","dixdc1a: Dixin-A (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00007131","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00007138","ZEB1: Zinc finger E-box-binding homeobox 1 (Homo sapiens)"
"Wounded_0h vs Control_0h ∩ Wounded_4h vs Wounded_0h","pdam_00004156","unknown function"
"Wounded_1h vs Control_1h ∩ Wounded_4h vs Control_4h","pdam_00018516","unknown function"
"Wounded_1h vs Control_1h ∩ Wounded_4h vs Control_4h","pdam_00003271","unknown function"
"Wounded_2h vs Control_2h ∩ Wounded_2h vs Wounded_0h","pdam_00000345","PXDN: Peroxidasin homolog (Homo sapiens)"
"Wounded_4h vs Control_4h ∩ Wounded_1h vs Wounded_0h","pdam_00012303","unknown function"
"Wounded_4h vs Control_4h ∩ Wounded_2h vs Wounded_0h","pdam_00002335","rps28: 40S ribosomal protein S28 (Ictalurus punctatus)"
"Wounded_4h vs Control_4h ∩ Wounded_2h vs Wounded_0h","pdam_00011277","RPL7: 60S ribosomal protein L7 (Pongo abelii)"
"Wounded_4h vs Control_4h ∩ Wounded_2h vs Wounded_0h","pdam_00021632","unknown function"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00025975","unknown function"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00003704","RPUSD4: RNA pseudouridylate synthase domain-containing protein 4 (Homo sapiens)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00015121","unknown function"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00007782","unknown function"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00005375","alr2800: Uncharacterized WD repeat-containing protein alr2800 (Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576))"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00006592","TMEM167A: Protein kish-A (Taeniopygia guttata)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00023043","GGT1: Gamma-glutamyltranspeptidase 1 (Sus scrofa)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00022473","unknown function"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00021061","tmem107: Transmembrane protein 107 (Xenopus laevis)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00001007","lgals3bpb: Galectin-3-binding protein B (Danio rerio)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00010825","Dctn5: Dynactin subunit 5 (Mus musculus)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00007318","zgc:56409: Uncharacterized protein C7orf26 homolog (Danio rerio)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00020605","WBSCR27: Williams-Beuren syndrome chromosomal region 27 protein (Homo sapiens)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00018128","NAD-specific glutamate dehydrogenase (Achlya klebsiana)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00016152","unknown function"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00023828","SENP8: Sentrin-specific protease 8 (Homo sapiens)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00006136","tmem5: Transmembrane protein 5 (Danio rerio)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00009428","AIF1: Allograft inflammatory factor 1 (Homo sapiens)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00002842","Ccdc97: Coiled-coil domain-containing protein 97 (Mus musculus)"
"Wounded_4h vs Control_4h ∩ Wounded_4h vs Wounded_0h","pdam_00023272","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00017136","Lrp6: Low-density lipoprotein receptor-related protein 6 (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00007460","C5orf49: Uncharacterized protein C5orf49 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00006624","Htr4: 5-hydroxytryptamine receptor 4 (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00015278","cfap20: Cilia- and flagella-associated protein 20 (Xenopus tropicalis)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00015287","Taar7f: Trace amine-associated receptor 7f (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00024229","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00025255","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00011675","lamtor3: Ragulator complex protein LAMTOR3 (Danio rerio)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00025545","RAB18: Ras-related protein Rab-18 (Gallus gallus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00014586","Guanine nucleotide-binding protein subunit beta (Pinctada fucata)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00018793","IQCG: IQ domain-containing protein G (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00019542","Shal: Potassium voltage-gated channel protein Shal (Drosophila melanogaster)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00000286","TEKT1: Tektin-1 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00000419","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00005768","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00012189","TBATA: Protein TBATA (Bos taurus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00014896","unknown function"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00018539","Asnsd1: Asparagine synthetase domain-containing protein 1 (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00014917","Rubcn: Run domain Beclin-1-interacting and cysteine-rich domain-containing protein (Mus musculus)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00007997","NME7: Nucleoside diphosphate kinase 7 (Homo sapiens)"
"Wounded_1h vs Wounded_0h ∩ Wounded_2h vs Wounded_0h","pdam_00020191","Crebbp: CREB-binding protein (Mus musculus)"
